Ticker,ETF,Cryptos,,,,,,,,
AAPL,SPY,btc-usd,,,,,,,,
GOOGL,IVV,eth-usd,,,,,,,,
GOOG,VTI,bnb-usd,,,,,,,,
MSFT,VOO,ada-usd,,,,,,,,
AMZN,QQQ,doge-usd,,,,,,,,
FB,VEA,xrp-usd,,,,,,,,
JPM,IEFA,dot1-usd,,,,,,,,
JNJ,AGG,uni3-usd,,,,,,,,
XOM,IEMG,bch-usd,,,,,,,,
BAC,VWO,ltc-usd,,,,,,,,
WMT,VTV,sol1-usd,,,,,,,,
WFC,VUG,icp1-usd,,,,,,,,
V,BND,link-usd,,,,,,,,
BRK.B,IJR,hex-usd,,,,,,,,
T,IWM,matic-usd,,,,,,,,
HD,IWF,theta-usd,,,,,,,,
CVX,IJH,xlm-usd,,,,,,,,
UNH,GLD,vet-usd,,,,,,,,
INTC,VIG,etc-usd,,,,,,,,
PFE,EFA,fil-usd,,,,,,,,
VZ,IWD,trx-usd,,,,,,,,
PG,VO,eos-usd,,,,,,,,
BA,VXUS,xmr-usd,,,,,,,,
ORCL,VB,aave-usd,,,,,,,,
CSCO,VCIT,neo-usd,,,,,,,,
C,VGT,cro-usd,,,,,,,,
KO,XLF,,,,,,,,,
MA,BNDX,,,,,,,,,
CMCSA,VNQ,,,,,,,,,
ABBV,XLK,,,,,,,,,
DWDP,LQD,,,,,,,,,
PEP,VCSH,,,,,,,,,
DIS,ITOT,,,,,,,,,
PM,VYM,,,,,,,,,
MRK,VEU,,,,,,,,,
IBM,BSV,,,,,,,,,
MMM,IVW,,,,,,,,,
NVDA,EEM,,,,,,,,,
GE,SCHX,,,,,,,,,
MCD,DIA,,,,,,,,,
AMGN,IXUS,,,,,,,,,
MO,RSP,,,,,,,,,
NFLX,IWR,,,,,,,,,
HON,IWB,,,,,,,,,
MDT,IAU,,,,,,,,,
GILD,TIP,,,,,,,,,
NKE,XLV,,,,,,,,,
UTX,USMV,,,,,,,,,
BMY,SCHF,,,,,,,,,
ABT,XLE,,,,,,,,,
UNP,IGSB,,,,,,,,,
